Team,OPR,Cargo Side (Panel),Cargo Side (Cargo),Cargo Front (Panel),Cargo Front (Cargo),Rocket High (Panel),Rocket High (Cargo),Rocket Mid (Panel),Rocket Mid (Cargo),Rocket Low (Panel),Rocket Low (Cargo),Starting Avg,Climbing Avg
229,21.661,1.362,5.911,1.566,2.122,0.019,0.118,-0.171,-0.069,1.943,1.361,5.438,2.063
1511,19.729,0.047,2.796,0.379,0.364,0.388,0.615,1.673,1.185,2.266,2.704,3.188,4.125
2626,6.415,-0.061,2.936,0.253,-0.151,-0.162,-0.132,0.095,-0.168,0.716,0.088,1.200,1.800
3360,16.982,0.197,3.971,0.282,0.634,-0.027,-0.156,0.039,0.339,2.079,0.623,6.000,3.000
3379,8.630,-0.038,3.199,0.211,0.450,-0.196,-0.003,0.156,-0.166,-0.037,-0.046,2.700,2.400
3386,13.911,0.114,-0.608,0.596,0.738,0.169,-0.215,0.498,-0.284,3.238,3.024,2.357,4.286
3532,10.221,0.559,0.772,1.495,0.917,0.034,-0.069,0.512,-0.216,0.945,0.471,2.400,2.400
3533,8.498,-0.208,3.840,0.332,0.248,-0.293,-0.258,0.314,-0.068,0.178,0.512,2.700,1.200
3544,20.246,0.117,6.370,2.028,3.096,0.083,0.128,-0.338,-0.200,0.219,-0.042,5.786,3.000
3550,9.322,-0.120,5.179,-0.822,-0.767,-0.207,-0.033,-0.028,-0.276,0.734,-0.767,4.071,2.357
3975,10.323,0.122,5.383,0.125,0.536,-0.147,-0.050,0.111,0.530,-0.028,0.141,1.500,2.100
3981,12.898,-0.071,3.699,0.238,0.720,0.194,0.098,0.233,0.049,0.769,0.151,4.091,2.727
3985,14.855,0.207,9.503,0.425,0.244,-0.348,-0.537,-0.380,-0.648,0.476,1.037,3.000,1.875
3986,28.347,-0.251,2.098,0.821,1.140,1.103,0.889,2.149,1.584,2.732,4.082,3.938,8.063
3988,11.893,-0.192,4.137,0.375,0.621,0.124,0.095,0.477,0.602,0.199,0.954,3.000,1.500
3990,25.588,0.014,1.830,1.112,2.042,0.138,0.265,1.078,0.670,3.421,3.205,6.000,5.813
4594,10.453,0.206,4.511,0.737,1.164,-0.193,-0.078,-0.008,-0.085,0.313,-0.315,2.700,1.500
4930,22.699,0.336,4.254,1.260,1.774,-0.399,-0.008,-0.162,-0.367,1.250,1.475,3.000,10.286
4947,17.050,-0.053,2.216,0.118,-0.042,-0.056,-0.153,0.997,0.446,2.827,2.250,5.000,3.500
4955,8.450,0.205,-0.114,0.583,-0.251,-0.101,-0.022,0.073,-0.106,2.161,0.321,3.000,2.700
4957,8.848,-0.008,4.897,0.600,0.239,0.168,0.220,-0.269,-0.239,-0.670,-0.180,2.455,1.636
5443,2.289,-0.052,-0.746,-0.536,-0.974,-0.077,-0.070,-0.091,-0.172,0.638,0.470,1.500,2.400
5553,11.511,-0.017,5.095,0.598,0.932,0.109,-0.093,0.057,-0.139,0.698,0.271,2.250,1.750
5865,15.819,0.324,2.372,0.984,1.304,-0.101,-0.259,0.445,0.130,1.120,0.125,5.813,3.563
6540,2.298,0.128,1.005,-0.637,-1.047,0.162,-0.062,0.312,0.520,-0.611,-0.472,2.100,0.900
6541,9.938,-0.038,3.180,1.143,1.861,-0.077,-0.035,-0.302,0.036,0.557,-0.287,2.100,1.800
6851,13.002,0.031,3.069,0.676,0.997,0.316,0.167,0.695,0.369,1.266,0.666,2.500,2.250
6869,15.889,-0.055,4.661,0.942,0.519,0.259,-0.044,0.019,-0.431,-0.216,-0.515,5.250,5.500
6872,13.393,0.128,3.247,1.045,1.621,0.295,0.294,-0.042,-0.088,1.011,-0.368,2.750,3.500
6929,15.024,0.160,4.329,1.100,1.338,-0.267,-0.246,-0.158,0.068,-0.076,-0.473,3.000,6.250
6953,1.897,-0.090,1.703,0.795,0.628,-0.296,-0.144,-0.780,-0.510,-0.302,-0.906,0.000,1.800
7053,13.362,0.001,0.328,1.630,1.903,0.018,-0.093,0.283,-0.159,2.590,1.611,2.750,2.500
7116,19.578,-0.080,7.139,0.616,0.735,0.270,0.445,0.213,0.467,0.717,1.555,4.714,2.786
7134,4.718,-0.126,2.808,-0.171,-0.034,0.270,0.076,0.754,-0.218,-0.311,-0.732,0.900,1.500
7162,5.922,-0.002,1.224,0.305,-0.114,0.138,-0.005,0.602,0.518,0.291,0.565,0.900,1.500
7471,9.088,-0.011,1.736,0.621,-0.255,0.213,0.056,0.087,-0.007,0.310,0.040,3.900,2.400
7555,1.422,0.011,0.770,-0.481,-0.488,-0.247,-0.148,0.191,0.405,-0.194,-0.497,0.000,2.100
7574,16.555,0.167,8.115,1.340,2.362,0.141,-0.131,-0.043,-0.268,-0.844,0.216,3.000,2.500
7605,19.122,-0.006,2.728,-0.110,-0.550,1.740,-0.077,2.785,0.846,1.028,0.023,5.357,5.357
7615,16.156,-0.234,6.757,0.586,0.474,0.056,0.521,0.062,0.338,0.825,0.523,4.250,2.000
7700,10.747,-0.045,1.151,0.362,0.021,0.212,-0.045,-0.002,0.560,0.246,-0.113,5.400,3.000
7701,9.536,-0.085,2.670,0.279,0.287,0.490,0.399,-0.147,-0.031,0.195,-1.020,4.250,2.250
